date,C,C++,Java,Javascript,PHP,XML Schema,Shell,Autoconf,Python,Ruby,Assembler,Perl,C#,SQL,Make
2000,50.11,11.19,8.54,8.04,4.19,0.98,2.29,2.19,1.81,1.72,1.67,1.33,1.03,0.85,0.75
2015,23.84,19.01,13.46,24.32,2.81,2.37,0.88,2.10,1.94,2.19,1.04,0.73,1.22,0.80,0.74
