date,event
01/05/1995,Javascript
01/11/1996,ECMA Standardization
01/06/1997,ECMAScript v1.0
01/06/1998,ECMAScript v2.0
01/12/1999,ECMAScript v3.0
04/06/2004,WHATWG
22/01/2008,HTML5 public draft
02/09/2008,V8
27/06/2009,Node.js
01/12/2009,ECMAScript v5.0
01/06/2011,ECMAScript V5.1
14/01/2015,io.js
01/06/2015,ECMAScript v6.0
