Language,percentage
C,34.80
Javascript,15.45
C++,15.13
Java,14.02
PHP,2.87
Autoconf,2.65
Python,2.15
Ruby,1.77
XML Schema,1.73
Shell,1.18
Assembler,1.16
SQL,1.07
Make,0.94
Perl,0.92
C#,0.90
