technology,percentage
Android,                   17.7
Javascript,                15.4
Python,                    14.8
Node.js,                   14.6
AngularJS,                 13.2
Java,                      10.5
iOS,                        9.4
Arduino / Raspberry Pi,     8.5
Swift,                      8.5
C#,                         8.0
