age,population
C,            50.11
C++,          11.19
Java,          8.54
Javascript,    8.04
PHP,           4.19
Shell,         2.29
Autoconf,      2.19
Python,        1.81
Ruby,          1.72
Assembler,     1.67
Perl,          1.33
C#,            1.03
XML Schema,    0.98
SQL,           0.85
Make,          0.75
